timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1619379813468,159,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,158,0,4
1619379813628,156,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,155,0,4
1619379813785,160,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,158,0,4
1619379813945,176,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,174,0,12
1619379814121,189,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,187,0,8
1619379814310,161,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,160,0,3
1619379814471,172,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,170,0,5
1619379814643,162,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,160,0,3
1619379814805,149,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,148,0,3
1619379814954,166,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,164,0,6
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,"161,454545454545",,,,,,,,,,,,,
,,,,,"159,781818181818",,,,,,,,,,,
